Date,Open,High,Low,Close,Adj Close,Volume
2022-08-18,1100.000000,1109.199951,1088.099976,1105.150024,1086.267578,3041422
2022-08-19,1110.000000,1135.000000,1100.000000,1104.150024,1085.284668,4577717
2022-08-22,1096.000000,1100.000000,1075.250000,1078.699951,1060.269409,2157609
2022-08-23,1062.000000,1070.099976,1047.000000,1065.900024,1047.688110,2875768
2022-08-24,1066.000000,1073.400024,1055.099976,1070.949951,1052.651855,2180800
2022-08-25,1080.000000,1089.650024,1065.550049,1070.599976,1052.307861,2734931
2022-08-26,1083.000000,1097.550049,1081.000000,1085.550049,1067.002441,2624896
2022-08-29,1046.000000,1047.599976,1017.299988,1035.550049,1017.856750,6118233
2022-08-30,1048.000000,1080.500000,1042.300049,1076.099976,1057.713867,4453769
2022-09-01,1056.000000,1065.000000,1043.099976,1052.900024,1034.910278,6112823
2022-09-02,1058.199951,1066.500000,1047.050049,1056.400024,1038.350464,1645341
2022-09-05,1056.000000,1070.800049,1054.800049,1065.050049,1046.852661,1677079
2022-09-06,1065.050049,1071.000000,1050.300049,1063.699951,1045.525635,3051076
2022-09-07,1052.000000,1061.000000,1044.000000,1055.849976,1037.809814,2615897
2022-09-08,1070.000000,1092.900024,1067.099976,1089.599976,1070.983154,2634786
2022-09-09,1102.650024,1132.349976,1086.250000,1126.650024,1107.400146,3394349
2022-09-12,1140.000000,1165.000000,1139.949951,1150.099976,1130.449463,5230075
2022-09-13,1156.000000,1164.449951,1143.099976,1147.449951,1127.844727,2483685
2022-09-14,1112.000000,1121.849976,1095.000000,1114.699951,1095.654297,5179539
2022-09-15,1120.300049,1124.300049,1078.000000,1083.000000,1064.495972,3392174
2022-09-16,1065.000000,1073.949951,1028.000000,1033.199951,1015.546814,6635089
2022-09-19,1036.000000,1051.849976,1023.099976,1039.500000,1021.739197,2485826
2022-09-20,1054.000000,1065.699951,1050.000000,1056.150024,1038.104736,2321528
2022-09-21,1047.199951,1066.949951,1047.000000,1060.150024,1042.036377,2760138
2022-09-22,1050.000000,1072.000000,1042.250000,1048.400024,1030.487183,3867282
2022-09-23,1038.000000,1049.900024,1022.000000,1035.099976,1017.414368,3230711
2022-09-26,1029.000000,1052.250000,1013.549988,1032.900024,1015.252014,3314114
2022-09-27,1034.949951,1045.000000,1019.049988,1022.500000,1005.029663,4448875
2022-09-28,1016.000000,1036.400024,1008.549988,1029.699951,1012.106567,1965519
2022-09-29,1042.849976,1044.500000,1001.650024,1007.099976,989.892761,3176310
2022-09-30,1001.000000,1018.799988,984.549988,1008.599976,991.367126,3848885
2022-10-03,1010.000000,1018.250000,999.150024,1005.500000,988.320129,2431236
2022-10-04,1022.000000,1036.000000,1017.900024,1028.300049,1010.730591,2715420
2022-10-06,1033.449951,1045.000000,1027.349976,1031.300049,1013.679321,2397633
2022-10-07,1029.900024,1036.449951,1021.049988,1023.849976,1006.356567,1539126
2022-10-10,1008.099976,1033.000000,1003.500000,1029.349976,1011.762573,1660433
2022-10-11,1034.500000,1035.000000,1000.549988,1004.849976,987.681213,2310765
2022-10-12,1007.799988,1018.799988,998.200012,1015.900024,998.542419,2192421
2022-10-13,1018.849976,1021.000000,1003.049988,1012.950012,995.642822,1344162
2022-10-14,1035.000000,1049.900024,1016.049988,1019.849976,1002.424927,3492929
2022-10-17,1019.000000,1027.949951,1007.450012,1023.250000,1005.766846,1426207
2022-10-18,1028.400024,1033.949951,1014.000000,1019.400024,1001.982666,2395805
2022-10-19,1024.500000,1030.000000,1016.299988,1019.200012,1001.786072,1304927
2022-10-20,1010.000000,1043.400024,1007.000000,1041.650024,1023.852478,1852905
2022-10-21,1041.650024,1044.349976,1031.099976,1041.150024,1023.361023,1202009
2022-10-24,1051.000000,1051.150024,1045.000000,1048.150024,1030.241455,231316
2022-10-25,1053.400024,1086.000000,1051.000000,1082.500000,1064.004517,3097049
2022-10-27,1093.300049,1098.000000,1067.150024,1075.849976,1057.468140,2342818
2022-10-28,1081.000000,1081.000000,1045.050049,1048.949951,1031.027710,1542568
2022-10-31,1053.250000,1078.300049,1053.000000,1063.400024,1045.230835,2629847
2022-11-01,1069.000000,1080.000000,1047.150024,1070.900024,1052.602783,4709472
2022-11-02,1071.000000,1098.699951,1066.349976,1082.000000,1063.513062,4104485
2022-11-03,1070.000000,1071.150024,1050.150024,1052.849976,1034.861084,3460133
2022-11-04,1053.000000,1058.800049,1038.750000,1053.650024,1035.647461,2531080
2022-11-07,1058.949951,1067.900024,1044.449951,1053.500000,1035.500000,2588984
2022-11-09,1047.000000,1048.949951,1025.050049,1028.699951,1028.699951,2697639
2022-11-10,1015.000000,1034.000000,1005.250000,1021.099976,1021.099976,3285774
2022-11-11,1049.000000,1066.000000,1046.199951,1058.699951,1058.699951,5299457
2022-11-14,1062.000000,1074.449951,1055.449951,1065.349976,1065.349976,2229790
2022-11-15,1065.000000,1070.500000,1050.000000,1066.949951,1066.949951,1577944
2022-11-16,1066.000000,1075.000000,1059.000000,1066.849976,1066.849976,2335937
2022-11-17,1060.000000,1061.849976,1047.300049,1058.550049,1058.550049,2089630
2022-11-18,1060.000000,1065.000000,1046.000000,1060.849976,1060.849976,1617331
2022-11-21,1055.099976,1057.900024,1037.800049,1042.599976,1042.599976,1475958
2022-11-22,1042.599976,1052.900024,1036.050049,1050.650024,1050.650024,1696991
2022-11-23,1055.949951,1058.650024,1041.349976,1044.050049,1044.050049,1704144
