Date,Open,High,Low,Close,Adj Close,Volume
2022-06-21,2200.000000,2300.000000,2159.250000,2285.149902,2190.543457,521526
2022-06-22,2280.000000,2325.050049,2228.000000,2287.050049,2192.364990,969838
2022-06-23,2297.050049,2338.600098,2284.199951,2310.899902,2215.227783,569468
2022-06-24,2320.000000,2344.000000,2252.399902,2260.649902,2167.058105,808684
2022-06-27,2294.949951,2350.000000,2294.949951,2338.750000,2241.924561,418206
2022-06-28,2320.000000,2379.600098,2300.000000,2370.949951,2272.791504,361325
2022-06-29,2337.550049,2343.850098,2305.750000,2314.649902,2218.822266,726355
2022-06-30,2339.000000,2352.699951,2273.000000,2294.050049,2199.075439,334462
2022-07-01,2279.199951,2299.449951,2220.100098,2241.149902,2148.365234,332856
2022-07-04,2252.899902,2264.000000,2185.000000,2228.750000,2136.478760,298460
2022-07-05,2194.899902,2229.949951,2161.000000,2169.949951,2123.949951,557928
2022-07-06,2170.000000,2231.949951,2152.550049,2204.300049,2204.300049,362899
2022-07-07,2220.000000,2255.000000,2185.050049,2209.850098,2209.850098,358481
2022-07-08,2242.600098,2271.750000,2208.000000,2232.800049,2232.800049,368033
2022-07-11,2201.000000,2214.500000,2131.000000,2201.350098,2201.350098,498479
2022-07-12,2196.800049,2234.000000,2155.000000,2164.949951,2164.949951,443194
2022-07-13,2178.649902,2192.949951,2140.000000,2147.050049,2147.050049,329805
2022-07-14,2163.949951,2172.250000,2090.000000,2111.199951,2111.199951,528566
2022-07-15,2122.300049,2144.899902,2070.500000,2141.550049,2141.550049,885044
2022-07-18,2160.000000,2203.949951,2141.199951,2159.000000,2159.000000,567322
2022-07-19,2158.000000,2173.300049,2132.000000,2146.800049,2146.800049,591954
2022-07-20,2180.000000,2269.949951,2165.500000,2256.350098,2256.350098,817926
2022-07-21,2270.000000,2274.000000,2216.000000,2259.649902,2259.649902,645966
2022-07-22,2264.800049,2298.000000,2173.000000,2276.449951,2276.449951,1217951
2022-07-25,2290.000000,2342.000000,2264.949951,2322.350098,2322.350098,1112984
2022-07-26,2318.000000,2320.000000,2170.000000,2177.550049,2177.550049,1219513
2022-07-27,2186.600098,2223.800049,2151.000000,2217.949951,2217.949951,679285
2022-07-28,2244.949951,2257.550049,2216.350098,2236.199951,2236.199951,595036
2022-07-29,2264.800049,2319.000000,2261.300049,2299.800049,2299.800049,867621
